,ID,smiles,moleculas,MW,TPSA,nRotB,HBD,HBA,logP,clusters
0,2183,C1=CC=C(C=C1)C2=CC=CC=C2OCC3=CC=C(C=C3)C(=O)N/N=C/C4=CC=C(C=C4)[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x000002274F579F40>,451.15320615200005,93.83,8.0,1.0,5.0,5.604700000000005,1
1,4185,COC1=NC2=C(C3=C(C=C(C=C3)Cl)N=C2C=C1)NC4=CC(=C(C(=C4)CN5CCCC5)O)CN6CCCC6.OP(=O)(O)O,<rdkit.Chem.rdchem.Mol object at 0x000002274F579E20>,615.2013481500001,151.51,7.0,5.0,8.0,5.1572000000000084,5
2,1707,CCCC1=NC2=CC=CC=C2C(=C1CC)C(=O)OCC(=O)N3CCC4=CC=CC=C43,<rdkit.Chem.rdchem.Mol object at 0x000002274F579CA0>,402.194342692,59.5,6.0,0.0,4.0,4.4958000000000045,0
3,1312,CC(C)(C)C1=CC=C(C=C1)OP(=O)(C)NC2=CC=C(C=C2)SC(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x000002274F579C40>,403.098271202,38.33,5.0,1.0,3.0,6.909800000000004,4
4,1946,CCOC1=C(C=C(C=C1)C(=O)NC2=CC=C(C=C2)CC3=CC=NC=C3)Br,<rdkit.Chem.rdchem.Mol object at 0x000002274F579BE0>,410.06298994800005,51.22,6.0,1.0,3.0,5.085900000000003,0
5,493,C[C@@H]1[C@H]([C@]2([C@H]3C4[C@]1([C@@H]5C=C(C(=O)[C@]5([C@@H]([C@@]6([C@H]4O6)CO)O)O)C)OC(O3)(O2)C7=CC=CC=C7)C(=C)C)OC(=O)/C=C/C=C/C8=CC=CC=C8,<rdkit.Chem.rdchem.Mol object at 0x000002274F579B80>,654.2464974159999,144.28000000000003,7.0,3.0,10.0,3.1242000000000028,5
6,2718,CC1CC(CN(C1)CCCNC(=O)C2CCN(CC2)C3=NC4=C(C=C(C=C4S3)C)C)C,<rdkit.Chem.rdchem.Mol object at 0x000002274F579B20>,442.27663283600003,48.470000000000006,6.0,1.0,5.0,4.613740000000004,0
7,2519,CC1=C(C2=NC3=CC=CC=C3N2C4=C1CCN4CCCN(C)C)C#N,<rdkit.Chem.rdchem.Mol object at 0x000002274F579AC0>,333.19534573600004,47.57,4.0,0.0,5.0,2.9818000000000016,2
8,57,CC1=C(OC2=CC=CC=C12)C(=O)OC(C)CCN(C)C.Cl,<rdkit.Chem.rdchem.Mol object at 0x000002274F579A60>,311.128821244,42.68,5.0,0.0,4.0,3.6600200000000025,2
9,2420,CC1=NC=C(S1)CN2CCCC(C2)CCC(=O)NCC3=CC=CC=C3F,<rdkit.Chem.rdchem.Mol object at 0x000002274F579A00>,375.17806167199996,45.230000000000004,7.0,1.0,4.0,3.8992200000000024,0
10,2381,COC1=CC=CC(=C1)CC2(CCCN(C2)C/C=C/C3=CC=CC=C3OC)CO,<rdkit.Chem.rdchem.Mol object at 0x000002274F5799A0>,381.23039385199996,41.93000000000001,8.0,1.0,4.0,4.034200000000004,0
11,3507,C1CN(CCN1C2=C3C=CC(=CC3=NC=C2)Cl)C(=O)NC4=CC=C(C=C4)OC(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x000002274F579940>,450.107038156,57.7,3.0,1.0,4.0,5.140900000000003,0
12,3344,CC1=NC2=CC=CC=C2N=C1N/N=C/C3=C(C=C(C=C3)O)O,<rdkit.Chem.rdchem.Mol object at 0x000002274F5798E0>,294.11167568799993,90.63000000000001,3.0,3.0,6.0,2.795420000000002,3
13,577,C/C(=N\NC(=S)N)/CC1CC2=C(CC1(C)C)C(CCC2)(C)C,<rdkit.Chem.rdchem.Mol object at 0x000002274F579880>,321.223868992,50.41,3.0,2.0,2.0,4.528500000000004,0
14,1849,C1CCC(CC1)[C@@H]2C[C@@H](OC(=C2)C(=O)N3CCN(CC3)CC4=CC5=C(C=C4)OCO5)OCC6=CC=C(C=C6)CO,<rdkit.Chem.rdchem.Mol object at 0x000002274F579820>,548.2886369999999,80.70000000000002,8.0,1.0,7.0,4.595400000000005,1
15,849,CCN\1C2=CC=CC=C2C(/C1=C/C=C/C3=[N+](C4=CC=CC=C4C3(C)C)CC)(C)C.[O-]Cl(=O)(=O)=O,<rdkit.Chem.rdchem.Mol object at 0x000002274F5797C0>,484.2128852159999,98.49,4.0,0.0,5.0,1.5844999999999998,6
16,701,CCC(C)NCCOCCOC1=CC=C(C=C1)F.C(=O)(C(=O)O)O,<rdkit.Chem.rdchem.Mol object at 0x000002274F579760>,345.1587657079999,105.09,9.0,3.0,5.0,1.7648,6
17,1310,C1CCN(CC1)S(=O)(=O)C2=CC=C(C=C2)C(=O)N/N=C\C3=C(C=CC4=CC=CC=C43)O,<rdkit.Chem.rdchem.Mol object at 0x000002274F579700>,437.140927216,99.07000000000001,5.0,2.0,5.0,3.4839000000000024,6
18,1472,CC1=C(C=C(C=C1)N(CCC#N)C(=O)CCl)C,<rdkit.Chem.rdchem.Mol object at 0x000002274F5796A0>,250.08729078,44.1,4.0,0.0,2.0,2.788920000000001,2
19,1296,C1C2CC3CC1CC(C2)(C3)CC(=O)N/N=C/C4=CC=C(O4)[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x000002274F579640>,331.153206152,97.74000000000001,5.0,1.0,5.0,3.2444000000000015,6
20,3247,CCN(CC)S(=O)(=O)C1=CC(=C(C=C1)C)NC(=O)CN2C=NC3=C(C2=O)C=CC(=C3)[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x000002274F5795E0>,473.136904456,144.51000000000002,8.0,1.0,8.0,2.2823200000000003,6
21,3134,CC1=CC(=NC=N1)SC2=NC(=NC=C2[N+](=O)[O-])N,<rdkit.Chem.rdchem.Mol object at 0x000002274F579580>,264.042944496,120.72,3.0,1.0,8.0,1.21662,3
22,3319,CN1C2=CC=CC=C2[N+](=C1N=NC3=CC=C(C=C3)OC)C.C1=CC=C(C=C1)S(=O)(=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x000002274F579520>,438.1361761839999,99.96000000000001,4.0,0.0,7.0,4.017500000000003,6
23,2729,CC1=CC=C(C=C1)CN2CCSC3=C2C=C(C=C3)C(=O)NC4CCN(CC4)CC5=CC=CC=C5,<rdkit.Chem.rdchem.Mol object at 0x000002274F5794C0>,471.23443367600004,35.580000000000005,6.0,1.0,4.0,5.501720000000005,4
24,72,C1CCN(CC1)C2=CC(=C(C=C2)N)N3CCCCC3,<rdkit.Chem.rdchem.Mol object at 0x000002274F579460>,259.2048478,32.5,2.0,1.0,3.0,3.2494000000000023,2
25,564,CC1=CC=C(C=C1)NC2=CC(=C(N=C2[N+](=O)[O-])[N+](=O)[O-])OC,<rdkit.Chem.rdchem.Mol object at 0x000002274F579400>,304.080769484,120.43000000000002,5.0,1.0,7.0,2.9586200000000016,3
26,2182,CCC1=C2C(=CC=C1)C(=CN2)C(=O)CN3C(=O)C(NC3=O)(C)C4=CC=CC5=CC=CC=C54,<rdkit.Chem.rdchem.Mol object at 0x000002274F5793A0>,425.173941596,82.27000000000001,5.0,2.0,3.0,4.533400000000003,0
27,406,CC1=NOC(=C1S(=O)(=O)N2CCCC(C2)C(=O)NC3CCCCC3)/C=C/N(C)C,<rdkit.Chem.rdchem.Mol object at 0x000002274F579340>,424.214426504,95.75,6.0,1.0,6.0,2.3649199999999997,6
28,3012,C1=CC=NC(=C1)C2=CSC(=N2)NC(=O)/C=C/C3=CC=CO3,<rdkit.Chem.rdchem.Mol object at 0x000002274F5792E0>,297.05719759199997,68.02000000000001,4.0,1.0,5.0,3.450000000000001,2
29,2225,CC1=C(C=CC(=C1)[N+](=O)[O-])NC(=O)NC2=C(C=C(C=C2)F)F,<rdkit.Chem.rdchem.Mol object at 0x000002274F579280>,307.076847652,84.27000000000001,3.0,2.0,3.0,3.825420000000001,2
30,3749,CCC[N+]1(CCCCC1)CC#CCC(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],<rdkit.Chem.rdchem.Mol object at 0x000002274F579220>,425.17181212400004,0.0,6.0,0.0,0.0,2.6267000000000005,4
31,3443,C1=CC=C2C(=C1)C(=O)C(=C(C2=O)Cl)NC3=CC=C(C=C3)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x000002274F5791C0>,327.0298354799999,83.47,3.0,2.0,4.0,3.3263000000000007,6
32,2304,CCOC1=C(C=CC(=C1)CNCCN2CCOCC2)OCC3=CC=CC=C3Cl.Cl,<rdkit.Chem.rdchem.Mol object at 0x000002274F579160>,440.16334818,42.96000000000001,10.0,1.0,5.0,4.161300000000003,1
33,283,COC1=C2C(=CC=C1)SC(=N2)NC3=NC(=CS3)C4=CC=CC=N4,<rdkit.Chem.rdchem.Mol object at 0x000002274F579100>,340.045253004,59.93,4.0,1.0,7.0,4.567000000000003,6
34,1106,C1=CC=C(C=C1)NCC(=O)N/N=C/C2=CC=C(O2)[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x000002274F5790A0>,288.08585486399994,109.77000000000001,6.0,2.0,6.0,1.7499999999999996,3
35,681,CC(C)CN1C=NC2=C(C1=N)C(=C(N2CC3=CC=CO3)C4=CC=CC=C4)C5=CC=CC=C5,<rdkit.Chem.rdchem.Mol object at 0x000002274F579040>,422.210661452,59.74,6.0,1.0,5.0,5.9485700000000055,1
36,1220,CC1=CC(=C(C=C1)C)C2=NN(C(=O)C3=CC=CC=C32)C4=C(C=CC(=C4)N5CCN(CC5)CCO)[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x000002274F567FA0>,499.221954408,104.74000000000001,6.0,1.0,8.0,3.6920400000000035,6
37,4024,CN(CCC1=CC=CC=N1)C2CCCN(C2)S(=O)(=O)C3=CC(=C(C=C3)F)Cl,<rdkit.Chem.rdchem.Mol object at 0x000002274F567F40>,411.118353876,53.510000000000005,6.0,0.0,4.0,3.2017000000000015,0
38,3531,C[C@@H]1CC=C[C@H]2[C@H]1C(=O)N([C@H]2C3=C(C=CC(=C3)C4=CC=C(C=C4)C(=O)C)OC)CC5=CC=CC=C5,<rdkit.Chem.rdchem.Mol object at 0x000002274F567EE0>,465.23039385199996,46.61,6.0,0.0,3.0,6.476700000000006,4
39,3887,CC1=C(C2=C(N1)C=CC(=C2)F)CCN(CC3=CN=CC=C3)C(=S)NC(C)(C)C,<rdkit.Chem.rdchem.Mol object at 0x000002274F567E80>,398.1940460840001,43.95,5.0,2.0,2.0,4.728120000000004,0
40,3456,CC(C)(C)C1=CC2=C(C=C1)OCC(O2)C(=O)N/N=C/C3=CC=C(O3)[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x000002274F567E20>,373.127385328,116.20000000000002,4.0,1.0,7.0,2.7754000000000003,3
41,4241,CC1=CC=C(C=C1)C(CNS(=O)(=O)C2=CC=C(C=C2)[N+](=O)[O-])N3CCN(CC3)C,<rdkit.Chem.rdchem.Mol object at 0x000002274F567DC0>,418.167476312,95.78999999999999,7.0,1.0,6.0,2.1702199999999996,6
42,3308,CCCCCCCCCCCCCCCCN1C=C[N+](=C1)C.[Br-],<rdkit.Chem.rdchem.Mol object at 0x000002274F567D60>,386.22966134800004,8.809999999999999,15.0,0.0,1.0,2.7979000000000003,4
43,723,CN1C2=CC=CC=C2SC1=NC(=O)CCl,<rdkit.Chem.rdchem.Mol object at 0x000002274F567D00>,240.012411588,34.36,1.0,0.0,3.0,1.9059000000000001,2
44,2601,CC1=CN2C(=NC(=C2NC3CCCC3)C4=CC=NC=C4)C=C1,<rdkit.Chem.rdchem.Mol object at 0x000002274F567CA0>,292.16879664,42.22,3.0,1.0,4.0,4.0592200000000025,2
45,4171,CC(C)N(CCNC(=O)C1=NN(C(=O)C2=CC=CC=C21)CC3=CC=CC=C3)C(C)C,<rdkit.Chem.rdchem.Mol object at 0x000002274F567C40>,406.2368762,67.23,8.0,1.0,5.0,3.293400000000002,0
46,1228,CCOC1=CC=C(C=C1)NC(=O)C(C)OC2=CC=CC=C2C(=O)NC3=CC(=C(C=C3)C)Cl,<rdkit.Chem.rdchem.Mol object at 0x000002274F567BE0>,452.15028496,76.66,8.0,2.0,4.0,5.705420000000005,1
47,4276,C1CN(CCN1C2=NC3=C(S2)C=CC=C3Cl)C(=O)C4=CC=C(O4)[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x000002274F567B80>,392.03460357599994,92.72,3.0,0.0,7.0,3.413300000000002,6
48,405,CC1=CC(=NC2=C1C3=C(S2)C4(CCSCC4)C(=C(O3)N)C#N)C,<rdkit.Chem.rdchem.Mol object at 0x000002274F567B20>,343.0813041640001,71.93,0.0,1.0,6.0,3.7642200000000026,2
49,4269,CCC(C)SC1=CC=C(C=C1)C2=C(N3C=C(C=CC3=N2)C)NC4CCCCC4.C(=O)(C(F)(F)F)O,<rdkit.Chem.rdchem.Mol object at 0x000002274F567AC0>,507.216732924,66.63,6.0,2.0,5.0,7.578220000000006,1
